股票代號,產業名稱
4413,紡織纖維
4414,紡織纖維
4415,
4416,建材營建
4417,紡織纖維
4419,觀光餐旅
4420,紡織纖維
4424,
4426,紡織纖維
4429,
4430,其他
4432,紡織纖維
4433,紡織纖維
4438,紡織纖維
4439,紡織纖維
4440,紡織纖維
4442,紡織纖維
4502,電機機械
4503,電機機械
4506,電機機械
4510,電機機械
4513,電機機械
4522,
4523,電機機械
4526,電機機械
4527,電機機械
4528,電機機械
4529,其他
4530,觀光餐旅
4532,電機機械
4533,電機機械
4534,電機機械
4535,電機機械
4536,運動休閒
4538,電機機械
4540,電機機械
4541,其他
4542,電子–電子零組件
4543,電機機械
4545,電子–電子零組件
4549,電機機械
4550,電機機械
4551,汽車工業
4552,電機機械
4554,電子–其他電子
4555,電機機械
4556,其他
4557,汽車工業
4558,電機機械
4560,電機機械
4561,電機機械
4562,電機機械
4563,電機機械
4564,電機機械
4566,電機機械
4568,電機機械
4569,汽車工業
4571,電機機械
4572,電機機械
4576,電機機械
4577,電子–其他電子
4580,電機機械
4581,汽車工業
4583,電機機械
4584,電機機械
4588,電子–其他電子
4609,居家生活
4702,居家生活
4706,化學工業
4707,化學工業
4711,化學工業
4714,化學工業
4716,化學工業
4717,
4720,化學工業
4721,化學工業
4722,化學工業
4725,
4726,生技醫療
4728,生技醫療
4729,電子–光電
4733,
4735,生技醫療
4736,生技醫療
4737,生技醫療
4739,化學工業
4741,化學工業
4743,生技醫療
4744,生技醫療
4745,生技醫療
4746,生技醫療
4747,生技醫療
4749,電子–半導體
4754,化學工業
4755,化學工業
4760,電子–其他電子
4762,
4763,化學工業
4764,化學工業
4766,化學工業
4767,化學工業
4768,化學工業
4770,化學工業
4771,生技醫療
4772,化學工業
4801,
4803,
4804,觀光餐旅
4806,文化創意
4807,貿易百貨
4903,電子–通信網路
4904,電子–通信網路
4905,電子–通信網路
4906,電子–通信網路
4907,建材營建
4908,電子–通信網路
4909,電子–通信網路
4910,
4911,生技醫療
4912,電子–電子零組件
4915,電子–電子零組件
4916,電子–電腦及週邊設備
4919,電子–半導體
4923,電子–半導體
4924,電子–電腦及週邊設備
4927,電子–電子零組件
4930,電器電纜
4931,電子–電腦及週邊設備
4933,電子–光電
4934,電子–光電
4935,電子–光電
4938,電子–電腦及週邊設備
4939,電子–電子零組件
4942,電子–光電
4943,電子–電子零組件
4944,
4945,電子–半導體
4946,文化創意
4947,
4949,電子–光電
4950,其他
4951,電子–半導體
4952,電子–半導體
4953,電子–資訊服務
4956,電子–光電
4958,電子–電子零組件
4960,電子–光電
4961,電子–半導體
4965,
4966,電子–半導體
4967,電子–半導體
4968,電子–半導體
4971,電子–半導體
4972,電子–光電
4973,電子–半導體
4974,電子–電子零組件
4976,電子–光電
4977,電子–通信網路
4979,電子–通信網路
4984,
4987,電子–電腦及週邊設備
4989,電子–電子零組件
4991,電子–半導體
4994,電子–資訊服務
4995,電子–光電
4999,電子–電子零組件
5002,
5006,
5007,鋼鐵工業
5008,
5009,鋼鐵工業
5011,鋼鐵工業
5013,鋼鐵工業
5014,鋼鐵工業
5015,鋼鐵工業
5016,鋼鐵工業
5017,
5102,
5201,電子–資訊服務
5202,電子–資訊服務
5203,電子–資訊服務
5204,
5205,綠能環保
5206,建材營建
5207,
5208,
5209,其他
5210,電子–資訊服務
5211,電子–資訊服務
5212,電子–資訊服務
5213,建材營建
5215,電子–電腦及週邊設備
5220,電子–光電
5222,電子–半導體
5223,電子–電腦及週邊設備
5225,電子–其他電子
5227,電子–電子零組件
5228,電子–電子零組件
5230,電子–光電
5234,電子–光電
5236,電子–半導體
5243,電子–光電
5244,電子–光電
5245,電子–光電
5251,電子–光電
5255,
5258,電子–電腦及週邊設備
5259,
5261,
5263,文化創意
5264,
5269,電子–半導體
5272,電子–半導體
5274,電子–半導體
5276,其他
5278,數位雲端
5280,
